# Integration weights for the "1d Gauss, m=80" formula (Table 2) over the reference triangle [(0, 0), (1, 0), (0, 1)].
# The integration point coordinates (x_i, y_i, z_i) are barycentric i.e. x_i + y_i + z_i = 1.
# For the reference triangle, \int f(r) dr is approximated by \sum_i w_i f((y_i, z_i))
# 
# w_i x_i y_i z_i
4.302951013174493230e-06 9.942711487894231315e-01 2.878001310016364833e-03 2.850849900560559202e-03
5.843674170713966356e-06 9.918402666098967702e-01 2.870964917473295408e-03 5.288768472629934436e-03
7.362540588515420904e-06 9.886674286063632522e-01 2.861780871509789215e-03 8.470790522126903088e-03
8.853883855353299596e-06 9.847573960419009342e-01 2.850462954001653504e-03 1.239214100409752328e-02
1.031219884143834088e-05 9.801160463119320543e-01 2.837028177563316600e-03 1.704692551050451810e-02
1.173215364324463388e-05 9.747503589478627717e-01 2.821496745034346443e-03 2.242814430710277085e-02
1.310861302010827999e-05 9.686684037481775311e-01 2.803892015123932158e-03 2.852770423669859223e-02
1.443666318172931013e-05 9.618793281844617571e-01 2.784240465956488997e-03 3.533643134958180942e-02
1.571163594942977045e-05 9.543933434651333814e-01 2.762571654732093318e-03 4.284408488013446981e-02
1.692913171105131981e-05 9.462217090992643964e-01 2.738918173044946336e-03 5.103937272769060174e-02
1.808504090989521273e-05 9.373767159239525526e-01 2.713315597754839548e-03 5.990996847829260785e-02
1.917556390218361342e-05 9.278716675986855567e-01 2.685802437421114242e-03 6.944252996389332910e-02
2.019722905453361390e-05 9.177208605849379586e-01 2.656420074351573124e-03 7.962271934071052382e-02
2.114690897292122781e-05 9.069395626369589625e-01 2.625212702342671900e-03 9.043522466069831012e-02
2.202183476949439876e-05 8.955439898340499250e-01 2.592227260197366157e-03 1.018637829057527089e-01
2.281960828682747644e-05 8.835512821878275247e-01 2.557513361118146644e-03 1.138912044510543287e-01
2.353821221204006217e-05 8.709794778606044785e-01 2.521123218080123518e-03 1.264993989213153425e-01
2.417601802605291692e-05 8.578474860333512586e-01 2.483111565295070822e-03 1.396694024013537261e-01
2.473179174626321424e-05 8.441750584638654242e-01 2.443535575884170363e-03 1.533814059602503499e-01
2.520469743407553000e-05 8.299827597778234312e-01 2.402454775882745253e-03 1.676147854462938236e-01
2.559429845201396312e-05 8.152919365373267890e-01 2.359930954706990214e-03 1.823481325079662763e-01
2.590055646848577159e-05 8.001246851334309351e-01 2.316028072215703393e-03 1.975592867943534170e-01
2.612382822160105994e-05 7.845038185509181083e-01 2.270812162508573095e-03 2.132253692865733741e-01
2.626486006671220359e-05 7.684528320552863612e-01 2.224351234604016181e-03 2.293228167101095671e-01
2.632478034542730790e-05 7.519958678535536567e-01 2.176715170147003331e-03 2.458274169762993400e-01
2.630508962671016364e-05 7.351576787820199854e-01 2.127975618300248506e-03 2.627143455996797661e-01
2.620764888322693029e-05 7.179635910756024808e-01 2.078205887976802835e-03 2.799582030364207164e-01
2.603466567825348156e-05 7.004394662747339684e-01 2.027480837576645101e-03 2.975330528876893865e-01
2.578867845015809157e-05 6.826116623271207828e-01 1.975876762392081432e-03 3.154124609104871357e-01
2.547253899264141871e-05 6.645069939428630557e-01 1.923471279852706495e-03 3.335695347772842378e-01
2.508939323948717652e-05 6.461526922625656644e-01 1.870343212781011566e-03 3.519769645246533241e-01
2.464266047249057793e-05 6.275763638991019855e-01 1.816572470835609021e-03 3.706070636300623500e-01
2.413601108042631103e-05 6.088059494146355055e-01 1.762239930319209336e-03 3.894318106550452852e-01
2.357334300533770117e-05 5.898696812953541091e-01 1.707427312533371655e-03 4.084228913921125748e-01
2.295875702002561750e-05 5.707960414871073862e-01 1.652217060861327358e-03 4.275517414520312864e-01
2.229653098735076626e-05 5.516137185558762646e-01 1.596692216765782657e-03 4.467895892273578973e-01
2.159109325777122969e-05 5.323515645374201632e-01 1.540936294886330327e-03 4.661074991676933954e-01
2.084699536642784393e-05 5.130385515410778030e-01 1.485033157425819095e-03 4.854764153014962669e-01
2.006888419498475487e-05 4.937037281729620419e-01 1.429066888013141856e-03 5.048672049390248162e-01
1.926147376634753091e-05 4.743761758440951937e-01 1.373121665234011690e-03 5.242507024906708502e-01
1.842951684227656325e-05 4.550849650292060344e-01 1.317281636017963997e-03 5.435977533347760016e-01
1.757777649478936032e-05 4.358591115419753192e-01 1.261630789073653336e-03 5.628792576689510829e-01
1.671099782209073555e-05 4.167275328924976430e-01 1.206252828561682477e-03 5.820662142789406746e-01
1.583387997859141464e-05 3.977190047926040251e-01 1.151231048195644480e-03 6.011297641592003860e-01
1.495104868637525877e-05 3.788621178744612239e-01 1.096648205960559785e-03 6.200412339195782163e-01
1.406702939227303351e-05 3.601852346875531463e-01 1.042586399637002170e-03 6.387721789128097960e-01
1.318622123050940328e-05 3.417164470387186181e-01 9.891269433182081627e-04 6.572944260179631737e-01
1.231287194574121277e-05 3.234835337394167398e-01 9.363502451059657616e-04 6.755801160154772944e-01
1.145105392522818896e-05 3.055139188237682157e-01 8.843356861693019155e-04 6.936017454900624823e-01
1.060464148190552151e-05 2.878346303002194961e-01 8.331615013477122744e-04 7.113322081984327916e-01
9.777289522312513094e-06 2.704722594988708817e-01 7.829046614785117875e-04 7.287448358396506620e-01
8.972413724708863320e-06 2.534529210756165662e-01 7.336407576255532526e-04 7.458134381667579360e-01
8.193172343343000817e-06 2.368022137332543853e-01 6.854438873831192325e-04 7.625123423793624955e-01
7.442449744773743547e-06 2.205451817186483421e-01 6.383865434261837279e-04 7.788164317379254742e-01
